name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
ABDULRAHMAN,48293,411,0.15,82348.55,34.55,40.88,9.25,(S),11.92,(S)
AHLIN,48293,411,0.15,82348.70,94.40,(S),1.95,0.00,(S),2.92
AKARD,48293,411,0.15,82348.85,94.16,(S),(S),(S),1.70,2.19
ALKINS,48293,411,0.15,82349.00,66.91,25.30,(S),(S),4.62,2.43
APPS,48293,411,0.15,82349.16,92.46,2.92,(S),(S),(S),2.68
BARBAREE,48293,411,0.15,82349.31,94.89,(S),(S),2.19,1.22,1.46
BERKEMEIER,48293,411,0.15,82349.46,95.86,0.00,(S),(S),1.22,2.19
BIELAT,48293,411,0.15,82349.61,98.30,(S),0.00,0.00,(S),(S)
BOTHUN,48293,411,0.15,82349.77,99.03,0.00,(S),0.00,0.00,(S)
BRESSMAN,48293,411,0.15,82349.92,94.65,(S),(S),2.19,1.46,(S)
CABBAGESTALK,48293,411,0.15,82350.07,1.46,95.38,0.00,0.00,1.95,1.22
CANGE,48293,411,0.15,82350.22,41.61,46.47,(S),0.00,10.71,(S)
CAPURRO,48293,411,0.15,82350.38,72.51,(S),(S),0.00,1.70,25.30
CASSELLS,48293,411,0.15,82350.53,55.23,37.47,(S),(S),3.16,3.65
CORTAZAR,48293,411,0.15,82350.68,19.46,(S),(S),0.00,(S),78.83
DALPORTO,48293,411,0.15,82350.83,92.70,0.00,(S),(S),2.19,3.89
DAUPHINEE,48293,411,0.15,82350.98,94.40,(S),(S),1.95,2.19,(S)
DEBLANC,48293,411,0.15,82351.14,72.26,23.11,(S),(S),2.19,1.95
DELAWARE,48293,411,0.15,82351.29,56.20,25.06,(S),10.95,(S),5.60
DESCHLER,48293,411,0.15,82351.44,95.38,0.00,0.00,(S),(S),3.41
DEVONE,48293,411,0.15,82351.59,37.71,55.23,(S),(S),3.16,2.19
DORNAK,48293,411,0.15,82351.75,97.32,(S),0.00,0.00,(S),1.22
DRAGONETTI,48293,411,0.15,82351.90,94.16,0.00,0.00,0.00,1.95,3.89
ECKL,48293,411,0.15,82352.05,96.84,(S),(S),(S),(S),1.22
EISENHUTH,48293,411,0.15,82352.20,98.30,(S),0.00,0.00,(S),(S)
EUSTACHE,48293,411,0.15,82352.36,9.00,78.59,0.00,0.00,8.27,4.14
FAZZINI,48293,411,0.15,82352.51,92.46,(S),(S),0.00,3.41,3.89
FRAIM,48293,411,0.15,82352.66,93.67,(S),(S),0.00,2.19,2.92
GHOBRIAL,48293,411,0.15,82352.81,87.83,1.22,(S),(S),8.76,1.70
GLAAB,48293,411,0.15,82352.97,97.57,(S),(S),0.00,1.46,(S)
GLOD,48293,411,0.15,82353.12,97.08,(S),(S),0.00,(S),1.22
GOLBERG,48293,411,0.15,82353.27,95.62,1.22,(S),0.00,(S),1.22
GUEDEA,48293,411,0.15,82353.42,8.76,(S),(S),0.00,(S),90.51
HARNE,48293,411,0.15,82353.57,94.16,3.89,(S),0.00,(S),1.22
HASZ,48293,411,0.15,82353.73,97.32,0.00,0.00,(S),(S),1.46
HEARTY,48293,411,0.15,82353.88,95.62,(S),(S),(S),1.22,1.46
HINOSTROZA,48293,411,0.15,82354.03,6.81,(S),0.00,0.00,(S),92.94
HOLTZINGER,48293,411,0.15,82354.18,96.59,0.00,(S),(S),2.19,(S)
HONOLD,48293,411,0.15,82354.34,92.21,(S),(S),(S),1.70,4.62
IMRAN,48293,411,0.15,82354.49,9.00,3.65,70.80,0.00,15.09,1.46
JOSTES,48293,411,0.15,82354.64,99.03,(S),0.00,0.00,0.00,(S)
KALLAL,48293,411,0.15,82354.79,97.57,0.00,(S),0.00,1.70,(S)
KESINGER,48293,411,0.15,82354.95,99.27,0.00,(S),0.00,0.00,(S)
KILFOYLE,48293,411,0.15,82355.10,96.35,0.00,0.00,0.00,1.70,1.95
KOBYLINSKI,48293,411,0.15,82355.25,97.08,0.00,(S),(S),(S),1.46
KORZENIEWSKI,48293,411,0.15,82355.40,97.57,(S),(S),0.00,1.70,(S)
KRAMME,48293,411,0.15,82355.56,98.05,0.00,(S),(S),(S),(S)
KREH,48293,411,0.15,82355.71,97.57,0.00,(S),(S),1.46,(S)
LAIDLEY,48293,411,0.15,82355.86,70.07,25.55,(S),(S),2.68,1.22
LES,48293,411,0.15,82356.01,81.75,4.62,5.60,(S),4.14,(S)
LINDSETH,48293,411,0.15,82356.16,98.05,0.00,(S),0.00,(S),1.22
LOBELL,48293,411,0.15,82356.32,98.05,(S),(S),0.00,(S),(S)
LOPARDO,48293,411,0.15,82356.47,93.67,(S),(S),0.00,1.70,3.89
MAREE,48293,411,0.15,82356.62,67.15,26.76,(S),(S),1.95,2.19
MATURA,48293,411,0.15,82356.77,87.83,1.70,3.89,0.00,4.38,2.19
MIDDLEKAUFF,48293,411,0.15,82356.93,99.03,(S),(S),0.00,0.00,(S)
MONFILS,48293,411,0.15,82357.08,95.62,(S),2.19,0.00,(S),(S)
MORAS,48293,411,0.15,82357.23,73.97,1.95,2.19,(S),(S),19.71
NATTER,48293,411,0.15,82357.38,94.16,2.19,(S),(S),1.70,1.22
NEGASH,48293,411,0.15,82357.54,2.19,86.62,(S),0.00,10.22,(S)
OSHANA,48293,411,0.15,82357.69,91.00,(S),(S),0.00,7.79,(S)
PLAUGHER,48293,411,0.15,82357.84,96.59,0.00,0.00,(S),(S),2.43
REHFELDT,48293,411,0.15,82357.99,93.92,0.00,1.95,(S),2.68,(S)
REPINE,48293,411,0.15,82358.15,97.08,0.00,(S),(S),(S),(S)
RHINEHARDT,48293,411,0.15,82358.30,72.26,24.82,(S),(S),(S),1.46
ROSSEL,48293,411,0.15,82358.45,50.36,3.65,(S),1.95,(S),42.82
ROUDABUSH,48293,411,0.15,82358.60,98.78,0.00,(S),0.00,0.00,(S)
SCHIAPPA,48293,411,0.15,82358.75,96.84,(S),0.00,0.00,(S),2.68
SCHUBACH,48293,411,0.15,82358.91,96.59,(S),(S),0.00,1.95,(S)
SERVANTEZ,48293,411,0.15,82359.06,15.09,(S),0.00,0.00,(S),83.94
SHALER,48293,411,0.15,82359.21,96.84,(S),(S),0.00,(S),1.70
SILLA,48293,411,0.15,82359.36,57.18,15.33,17.52,(S),(S),5.84
SIVELS,48293,411,0.15,82359.52,5.60,90.27,(S),(S),2.43,1.46
SIVERSON,48293,411,0.15,82359.67,98.54,(S),(S),0.00,(S),(S)
SLIMP,48293,411,0.15,82359.82,92.94,(S),(S),2.92,2.19,1.70
SLOVACEK,48293,411,0.15,82359.97,98.78,(S),0.00,0.00,(S),(S)
SOYKA,48293,411,0.15,82360.13,95.62,1.46,(S),0.00,(S),1.95
STAAT,48293,411,0.15,82360.28,97.08,(S),0.00,(S),1.22,1.22
STRASSMAN,48293,411,0.15,82360.43,98.54,(S),(S),0.00,(S),(S)
SWOVELAND,48293,411,0.15,82360.58,96.59,0.00,(S),(S),(S),1.22
TANKS,48293,411,0.15,82360.74,8.27,86.86,(S),(S),2.19,1.22
TEPER,48293,411,0.15,82360.89,96.35,0.00,(S),0.00,2.19,(S)
TUCEK,48293,411,0.15,82361.04,98.30,0.00,(S),0.00,(S),(S)
