name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
AALBERS,98770,170,0.06,87212.05,99.41,0.00,(S),0.00,0.00,(S)
ADAMA,98770,170,0.06,87212.11,42.35,30.00,4.12,(S),(S),22.35
ADDABBO,98770,170,0.06,87212.17,99.41,0.00,0.00,(S),0.00,(S)
AGENBROAD,98770,170,0.06,87212.24,91.18,(S),(S),(S),(S),5.29
AHAMAD,98770,170,0.06,87212.30,8.82,11.76,41.76,(S),30.59,(S)
AIONO,98770,170,0.06,87212.36,17.65,0.00,60.00,0.00,17.06,5.29
ALD,98770,170,0.06,87212.43,34.12,8.82,47.65,0.00,4.12,5.29
ALDO,98770,170,0.06,87212.49,89.41,(S),(S),0.00,0.00,5.88
ANJOS,98770,170,0.06,87212.55,62.35,3.53,(S),(S),23.53,10.00
APSLEY,98770,170,0.06,87212.61,98.82,0.00,(S),0.00,0.00,(S)
ARTLIP,98770,170,0.06,87212.68,92.35,(S),(S),(S),(S),(S)
ARVALLO,98770,170,0.06,87212.74,(S),(S),0.00,0.00,0.00,99.41
ASHAUER,98770,170,0.06,87212.80,97.65,0.00,(S),(S),(S),(S)
ASTONE,98770,170,0.06,87212.87,92.94,2.94,0.00,0.00,(S),(S)
AXEN,98770,170,0.06,87212.93,82.94,11.76,(S),0.00,(S),2.94
AYAN,98770,170,0.06,87212.99,70.00,5.29,2.94,(S),(S),19.41
BACKERT,98770,170,0.06,87213.06,96.47,(S),0.00,0.00,(S),(S)
BALBER,98770,170,0.06,87213.12,70.00,(S),(S),5.88,4.12,18.24
BARANICK,98770,170,0.06,87213.18,97.06,0.00,0.00,0.00,0.00,2.94
BARNICOAT,98770,170,0.06,87213.24,97.65,(S),0.00,0.00,(S),(S)
BARTROM,98770,170,0.06,87213.31,98.24,(S),0.00,0.00,0.00,(S)
BATTIG,98770,170,0.06,87213.37,95.88,0.00,(S),0.00,(S),0.00
BELFIGLIO,98770,170,0.06,87213.43,99.00,0.00,0.00,0.00,0.00,0.00
BELTZER,98770,170,0.06,87213.50,90.59,0.00,(S),0.00,(S),4.71
BENGS,98770,170,0.06,87213.56,94.71,(S),(S),0.00,(S),(S)
BENNETCH,98770,170,0.06,87213.62,99.41,0.00,0.00,(S),0.00,(S)
BENORE,98770,170,0.06,87213.69,95.88,(S),(S),(S),0.00,0.00
BENZAQUEN,98770,170,0.06,87213.75,64.71,(S),0.00,0.00,(S),34.71
BERDEJO,98770,170,0.06,87213.81,2.94,0.00,0.00,0.00,0.00,97.06
BERLE,98770,170,0.06,87213.87,90.59,(S),(S),0.00,(S),2.94
BETTIES,98770,170,0.06,87213.94,10.00,88.82,0.00,0.00,(S),(S)
BEZOTTE,98770,170,0.06,87214.00,94.12,0.00,2.94,0.00,(S),(S)
BIELING,98770,170,0.06,87214.06,98.82,(S),0.00,(S),0.00,0.00
BILYOU,98770,170,0.06,87214.13,94.71,0.00,0.00,(S),(S),2.94
BISSOON,98770,170,0.06,87214.19,(S),25.29,30.00,(S),40.00,(S)
BLAQUIERE,98770,170,0.06,87214.25,98.24,0.00,0.00,0.00,(S),(S)
BODFORD,98770,170,0.06,87214.32,85.29,13.53,0.00,(S),(S),0.00
BOGASH,98770,170,0.06,87214.38,95.88,0.00,0.00,0.00,(S),(S)
BOITEL,98770,170,0.06,87214.44,58.82,0.00,0.00,0.00,0.00,41.18
BOMBECK,98770,170,0.06,87214.50,98.24,(S),0.00,0.00,0.00,(S)
BONHEUR,98770,170,0.06,87214.57,20.00,71.76,(S),0.00,5.88,(S)
BORELAND,98770,170,0.06,87214.63,22.35,64.71,(S),(S),3.53,5.88
BORIO,98770,170,0.06,87214.69,95.29,(S),0.00,0.00,(S),2.94
BOSSONE,98770,170,0.06,87214.76,97.06,0.00,0.00,0.00,(S),(S)
BOULDS,98770,170,0.06,87214.82,79.41,17.65,0.00,0.00,(S),(S)
BOUREY,98770,170,0.06,87214.88,95.88,(S),(S),0.00,(S),(S)
BRUSCINO,98770,170,0.06,87214.95,90.59,0.00,0.00,(S),(S),5.88
BRYLES,98770,170,0.06,87215.01,46.47,51.18,0.00,0.00,(S),(S)
BUDINE,98770,170,0.06,87215.07,98.82,(S),0.00,0.00,(S),0.00
BURGEY,98770,170,0.06,87215.13,95.88,(S),(S),(S),0.00,(S)
BUTTERIS,98770,170,0.06,87215.20,96.47,0.00,(S),(S),(S),0.00
BUTTERMAN,98770,170,0.06,87215.26,95.88,(S),0.00,0.00,(S),(S)
BYNAKER,98770,170,0.06,87215.32,94.12,(S),0.00,0.00,(S),4.71
CABERO,98770,170,0.06,87215.39,11.18,0.00,45.29,0.00,4.71,38.82
CABICO,98770,170,0.06,87215.45,5.88,0.00,68.24,0.00,10.59,15.29
CAIATI,98770,170,0.06,87215.51,97.06,0.00,(S),0.00,0.00,(S)
CAISE,98770,170,0.06,87215.58,56.47,36.47,2.94,(S),(S),3.53
CALLEAR,98770,170,0.06,87215.64,99.41,(S),0.00,0.00,0.00,(S)
CALLI,98770,170,0.06,87215.70,86.47,4.12,(S),0.00,(S),7.06
CANDELORO,98770,170,0.06,87215.77,97.06,(S),0.00,0.00,(S),(S)
CAPITELLI,98770,170,0.06,87215.83,98.82,(S),0.00,0.00,0.00,(S)
CASCIA,98770,170,0.06,87215.89,93.53,(S),(S),0.00,(S),3.53
CASSINGHAM,98770,170,0.06,87215.95,97.06,0.00,0.00,(S),(S),(S)
CAVAGNARD,98770,170,0.06,87216.02,97.06,0.00,0.00,(S),(S),(S)
CAWRSE,98770,170,0.06,87216.08,98.82,0.00,0.00,0.00,(S),(S)
CAYFORD,98770,170,0.06,87216.14,98.82,0.00,0.00,(S),0.00,(S)
CEE,98770,170,0.06,87216.21,52.35,20.00,18.24,(S),(S),5.88
CHAFFMAN,98770,170,0.06,87216.27,97.65,(S),0.00,0.00,(S),0.00
CHAIX,98770,170,0.06,87216.33,90.00,(S),(S),(S),(S),4.71
CHAJON,98770,170,0.06,87216.40,5.88,0.00,0.00,0.00,0.00,94.12
CHARLOTTE,98770,170,0.06,87216.46,55.88,32.94,(S),0.00,(S),8.82
CHEM,98770,170,0.06,87216.52,4.12,(S),85.29,0.00,8.24,(S)
CHERNIAK,98770,170,0.06,87216.58,94.71,(S),(S),0.00,0.00,(S)
CIAMBRIELLO,98770,170,0.06,87216.65,98.82,(S),0.00,0.00,0.00,(S)
CINOTTO,98770,170,0.06,87216.71,97.06,0.00,(S),0.00,(S),(S)
CLAPHAN,98770,170,0.06,87216.77,87.06,(S),(S),7.65,(S),(S)
CLIPPERTON,98770,170,0.06,87216.84,97.65,0.00,0.00,0.00,(S),(S)
CLISH,98770,170,0.06,87216.90,95.29,(S),(S),0.00,0.00,(S)
COLETTE,98770,170,0.06,87216.96,86.47,2.94,(S),(S),2.94,6.47
COURRIER,98770,170,0.06,87217.03,97.65,0.00,(S),0.00,0.00,(S)
CRAYON,98770,170,0.06,87217.09,40.59,54.71,(S),0.00,3.53,(S)
CURTON,98770,170,0.06,87217.15,81.76,17.06,(S),0.00,0.00,(S)
CZLAPINSKI,98770,170,0.06,87217.21,99.41,(S),0.00,0.00,0.00,(S)
DAKERS,98770,170,0.06,87217.28,45.29,48.24,(S),(S),2.94,2.94
DALI,98770,170,0.06,87217.34,71.76,4.71,7.06,0.00,12.35,4.12
DALICANDRO,98770,170,0.06,87217.40,97.65,0.00,(S),0.00,0.00,(S)
DAOU,98770,170,0.06,87217.47,85.88,4.71,(S),0.00,7.06,(S)
DAVIDHIZAR,98770,170,0.06,87217.53,99.41,0.00,(S),0.00,0.00,(S)
DECEMBER,98770,170,0.06,87217.59,62.94,28.82,0.00,0.00,4.12,4.12
DEDERING,98770,170,0.06,87217.66,99.00,0.00,0.00,0.00,0.00,0.00
DEKHTYAR,98770,170,0.06,87217.72,98.24,0.00,0.00,0.00,(S),(S)
DELLECAVE,98770,170,0.06,87217.78,99.41,(S),0.00,0.00,0.00,(S)
DELURY,98770,170,0.06,87217.84,96.47,(S),0.00,0.00,2.94,(S)
DENHA,98770,170,0.06,87217.91,82.94,(S),(S),0.00,12.94,3.53
DEYSHER,98770,170,0.06,87217.97,98.82,(S),0.00,0.00,0.00,(S)
DIM,98770,170,0.06,87218.03,32.94,14.71,47.06,(S),2.94,(S)
DISTASO,98770,170,0.06,87218.10,93.53,(S),(S),0.00,2.94,(S)
DIVELBLISS,98770,170,0.06,87218.16,99.00,0.00,0.00,0.00,0.00,0.00
DOMAIN,98770,170,0.06,87218.22,78.82,16.47,(S),0.00,(S),(S)
DOSANTOS,98770,170,0.06,87218.29,37.65,9.41,(S),(S),40.59,11.76
DOWLEARN,98770,170,0.06,87218.35,92.35,(S),0.00,(S),(S),4.71
DREAS,98770,170,0.06,87218.41,89.41,(S),5.29,0.00,(S),4.71
DREFFS,98770,170,0.06,87218.47,99.00,0.00,0.00,0.00,0.00,0.00
DREPAUL,98770,170,0.06,87218.54,(S),11.18,37.65,(S),39.41,7.65
DROGO,98770,170,0.06,87218.60,94.12,2.94,0.00,0.00,(S),(S)
DUHIGG,98770,170,0.06,87218.66,92.94,(S),(S),0.00,0.00,6.47
DULMES,98770,170,0.06,87218.73,95.88,0.00,(S),0.00,(S),(S)
EBRAHIMIAN,98770,170,0.06,87218.79,81.18,(S),0.00,0.00,18.24,(S)
EDRICH,98770,170,0.06,87218.85,90.00,(S),(S),(S),2.94,3.53
EGGART,98770,170,0.06,87218.92,92.94,(S),0.00,0.00,(S),5.29
ELLMER,98770,170,0.06,87218.98,95.88,(S),0.00,0.00,(S),(S)
EMINETH,98770,170,0.06,87219.04,97.65,0.00,0.00,(S),(S),0.00
EMMART,98770,170,0.06,87219.11,95.88,(S),0.00,0.00,(S),(S)
ESKEY,98770,170,0.06,87219.17,84.71,0.00,0.00,7.65,2.94,4.71
ETTIENNE,98770,170,0.06,87219.23,3.53,78.24,(S),(S),9.41,8.24
EYZAGUIRRE,98770,170,0.06,87219.29,12.35,(S),(S),0.00,0.00,87.06
FAGE,98770,170,0.06,87219.36,88.24,(S),(S),(S),(S),6.47
FAIRLEIGH,98770,170,0.06,87219.42,96.47,0.00,(S),0.00,(S),0.00
FALING,98770,170,0.06,87219.48,96.47,0.00,(S),(S),(S),(S)
FEDERIGHI,98770,170,0.06,87219.55,96.47,(S),0.00,0.00,(S),2.94
FEEKES,98770,170,0.06,87219.61,97.65,0.00,0.00,(S),(S),(S)
